NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2923 =  35.68% , Elapsed time =    996.69 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2661 =  32.48% , Elapsed time =    422.02 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors = 13103 =  79.97% , Elapsed time = 2714014.54 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =  4653 =  28.40% , Elapsed time =    818.64 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =  3634 =  22.18% , Elapsed time =    660.21 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =  4992 =  30.47% , Elapsed time =   1542.29 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =  3693 =  22.54% , Elapsed time =    770.34 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5222 =  31.87% , Elapsed time =    839.59 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5655 =  34.52% , Elapsed time =   1416.37 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  4616 =  28.17% , Elapsed time =    608.79 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5171 =  31.56% , Elapsed time =    655.85 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  3579 =  21.84% , Elapsed time =   2093.89 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5335 =  32.56% , Elapsed time =    857.91 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5264 =  32.13% , Elapsed time =    850.05 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5536 =  33.79% , Elapsed time =    802.65 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5511 =  33.64% , Elapsed time =    953.66 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5386 =  32.87% , Elapsed time =    744.30 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors = 11282 =  34.43% , Elapsed time =   2361.01 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors = 10809 =  32.99% , Elapsed time =   1462.85 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    905.15 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors = 12927 =  39.45% , Elapsed time =   3241.53 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors = 10682 =  32.60% , Elapsed time =   1636.86 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  8681 =  26.49% , Elapsed time =   1345.36 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 11432 =  34.89% , Elapsed time =   1977.47 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 10734 =  32.76% , Elapsed time =   1613.56 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  9541 =  29.12% , Elapsed time =   1536.47 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 16332 =  49.84% , Elapsed time =   4196.68 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 11034 =  33.67% , Elapsed time =   1295.64 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 14339 =  43.76% , Elapsed time =   3757.86 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 11772 =  35.93% , Elapsed time =   1045.35 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 11820 =  36.07% , Elapsed time =   1485.12 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 10260 =  31.31% , Elapsed time = 656857.97 microseconds
